City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,lihue,21.9789,-159.3672,27.58,80,40,4.63,US,2023-12-12
79,port mathurin,-19.6833,63.4167,25.76,77,49,2.97,MU,2023-12-12
80,hasaki,35.7333,140.8333,12.38,87,100,10.28,JP,2023-12-12
81,zapala,-38.8992,-70.0544,16.68,40,67,8.43,AR,2023-12-12
82,howrah,22.5892,88.3103,16.0,88,0,2.57,IN,2023-12-12
83,badger,64.8,-147.5333,-6.07,86,100,4.63,US,2023-12-12
84,kalmunai,7.4167,81.8167,24.61,91,97,3.35,LK,2023-12-12
85,codrington,-38.2667,141.9667,29.0,47,100,5.93,AU,2023-12-12
86,lamar,33.6668,-95.5836,10.99,43,0,3.09,US,2023-12-12
87,chernyshevskiy,63.0128,112.4714,-31.43,99,100,1.02,RU,2023-12-12
88,tolanaro,-25.0319,46.9987,23.9,95,81,4.28,MG,2023-12-12
89,antsiranana,-12.2787,49.2917,25.48,82,38,5.0,MG,2023-12-12
90,vilyuchinsk,52.9306,158.4028,-5.85,84,24,2.99,RU,2023-12-12
91,daru,-9.0763,143.2092,30.18,66,46,4.25,PG,2023-12-12
92,udachny,66.4167,112.4,-24.93,97,100,3.88,RU,2023-12-12
93,puerto natales,-51.7236,-72.4875,8.98,72,48,2.55,CL,2023-12-12
94,port-aux-francais,-49.35,70.2167,5.74,98,96,10.31,TF,2023-12-12
95,newman,37.3138,-121.0208,16.19,46,40,1.34,US,2023-12-12
96,fort st. john,56.2499,-120.8529,-5.06,74,40,3.6,CA,2023-12-12
97,aksu,41.1231,80.2644,-3.09,63,93,1.82,CN,2023-12-12
98,cudillero,43.5622,-6.1459,17.51,69,75,1.03,ES,2023-12-12
99,jamestown,42.097,-79.2353,0.77,72,100,4.63,US,2023-12-12
100,thompson,55.7435,-97.8558,-12.91,78,100,5.66,CA,2023-12-12
101,ataq,14.5377,46.8319,14.67,32,7,2.31,YE,2023-12-12
102,tazacorte,28.629,-17.9293,19.54,57,0,3.58,ES,2023-12-12
103,martapura,-3.4167,114.85,26.05,94,20,2.57,ID,2023-12-12
104,guerrero negro,27.9769,-114.0611,19.97,40,78,4.51,MX,2023-12-12
105,nemuro,43.3236,145.575,1.43,86,100,6.91,JP,2023-12-12
106,arakkonam,13.1,79.6667,21.57,89,73,2.12,IN,2023-12-12
107,puerto ayora,-0.7393,-90.3518,24.45,83,46,3.31,EC,2023-12-12
108,pisco,-13.7,-76.2167,20.03,83,0,9.26,PE,2023-12-12
109,hadibu,12.65,54.0333,24.07,72,81,4.57,YE,2023-12-12
110,bojnurd,37.4747,57.329,1.97,100,20,0.0,IR,2023-12-12
111,jayapura,-2.5333,140.7,28.66,69,100,2.96,ID,2023-12-12
112,shahrak,34.1074,64.3052,-2.99,83,4,1.13,AF,2023-12-12
113,ola,59.5833,151.2833,-6.33,83,100,6.26,RU,2023-12-12
114,enewetak,11.3474,162.3373,27.87,76,23,8.54,MH,2023-12-12
115,la paz,-16.5,-68.15,12.99,82,75,3.09,BO,2023-12-12
116,coahuayana de hidalgo,18.7,-103.6583,26.63,72,43,0.45,MX,2023-12-12
117,viedma,-40.8135,-62.9967,27.79,25,57,6.68,AR,2023-12-12
118,sandnessjoen,66.0217,12.6316,-14.71,78,3,6.59,NO,2023-12-12
119,kuanda,56.3161,116.0806,-36.7,98,81,0.38,RU,2023-12-12
120,saipan,15.1355,145.701,29.39,74,20,6.17,MP,2023-12-12
121,ivins,37.1686,-113.6794,11.2,24,69,0.45,US,2023-12-12
122,kuqa,41.7278,82.9364,-3.4,61,93,0.45,CN,2023-12-12
123,monforte del cid,38.3686,-0.7044,18.92,43,0,3.09,ES,2023-12-12
124,arinos,-15.9169,-46.1056,26.13,53,87,2.4,BR,2023-12-12
125,gamba,-2.65,10.0,25.81,86,97,1.23,GA,2023-12-12
126,malpe,13.35,74.7167,26.61,84,44,2.61,IN,2023-12-12
127,mersing,2.4312,103.8405,23.95,100,40,0.0,MY,2023-12-12
128,bakchar,57.0186,82.0711,-31.28,97,37,2.61,RU,2023-12-12
129,masterton,-40.9597,175.6575,17.16,43,53,3.25,NZ,2023-12-12
130,nyurba,63.2842,118.3319,-30.39,98,99,2.39,RU,2023-12-12
131,princeville,45.7668,-61.2985,14.86,95,100,14.4,CA,2023-12-12
132,la mira,18.035,-102.3266,26.53,69,87,1.8,MX,2023-12-12
133,zaozersk,69.4005,32.4476,-16.44,96,27,4.25,RU,2023-12-12
134,punta del este,-34.9667,-54.95,21.09,85,0,5.66,UY,2023-12-12
135,nantucket,41.2835,-70.0995,6.08,65,75,8.23,US,2023-12-12
136,la passe,45.5549,-0.8967,14.13,89,100,4.19,FR,2023-12-12
137,longyearbyen,78.2186,15.6401,-7.09,68,75,5.66,SJ,2023-12-12
138,ancud,-41.8697,-73.8203,11.14,79,99,4.77,CL,2023-12-12
139,yaren,-0.5472,166.916,29.08,75,16,5.38,NR,2023-12-12
140,colonia rincon viejo,16.9,-95.05,17.76,80,94,6.28,MX,2023-12-12
141,corn island,12.1694,-83.0418,27.58,83,23,8.68,NI,2023-12-12
142,antofagasta,-23.65,-70.4,18.16,80,89,2.83,CL,2023-12-12
143,isafjordur,66.0755,-23.124,-5.34,83,89,1.76,IS,2023-12-12
144,lerwick,60.1545,-1.1494,5.0,71,97,3.51,GB,2023-12-12
